borough,buildingClassCategory,address,zipcode,residentialUnits,landSqft,yearBuilt,salePrice,employed,unemployed,incomeAbove100k,incomeBelow100k
Bronx County,01 ONE FAMILY DWELLINGS,626 KING AVENUE,10464,1,"52,500",1920,1300000,565642,32035,44610,621050
Richmond County (Staten Island),02 TWO FAMILY DWELLINGS,81 WOODVALE AVENUE,10309,2,"51,272",1899,830000,213734,8585,55180,173430
Richmond County (Staten Island),02 TWO FAMILY DWELLINGS,170 HOWARD AVE,10301,2,"38,940",1899,1455000,213734,8585,55180,173430
Bronx County,01 ONE FAMILY DWELLINGS,4960 ARLINGTON AVENUE,10471,1,"33,850",1901,2300000,565642,32035,44610,621050
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,283 OCEAN TERRACE,10301,1,"33,640",1935,1850000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,50 LEGATE AVENUE,10312,1,"29,575",1899,1050000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,262 OCEAN TERRACE,10301,1,"29,205",1969,1200000,213734,8585,55180,173430
Bronx County,01 ONE FAMILY DWELLINGS,4925 ARLINGTON AVENUE,10471,1,"28,509",1899,3875000,565642,32035,44610,621050
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,17 EDDY STREET,10301,1,"28,424",1905,1290000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,16 BUTTONWOOD ROAD,10304,1,"27,489",1965,3800000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,50 NICOLOSI DRIVE,10312,1,"25,714",1989,2575000,213734,8585,55180,173430
Bronx County,01 ONE FAMILY DWELLINGS,390 WEST 253RD STREET,10471,1,"25,080",1925,925000,565642,32035,44610,621050
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,135 DUNHAM STREET,10309,1,"24,000",1950,1120000,213734,8585,55180,173430
Richmond County (Staten Island),02 TWO FAMILY DWELLINGS,1531 RICHMOND ROAD,10304,2,"23,656",1955,500000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,18 SUNSET HILL DRIVE,10301,1,"22,895",2000,2110000,213734,8585,55180,173430
Queens County,01 ONE FAMILY DWELLINGS,39-33 223RD STREET,11361,1,"22,700",1965,2300000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,42-13 ORIENT AVENUE,11363,1,"22,400",1930,1505000,1099996,39401,166650,1015040
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,181 ARBUTUS AVENUE,10312,1,"22,379",1970,1810000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,462 OCEAN TERRACE,10301,1,"22,240",1960,1199999,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,3 BUTTONWOOD RD,10304,1,"21,320",1978,1775000,213734,8585,55180,173430
Richmond County (Staten Island),02 TWO FAMILY DWELLINGS,957 IONIA AVENUE,10309,2,"21,000",1980,1750000,213734,8585,55180,173430
Bronx County,01 ONE FAMILY DWELLINGS,27 SIGMA PLACE,10471,1,"20,616",1970,2118000,565642,32035,44610,621050
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,48 POILLON AVENUE,10312,1,"20,520",1959,900000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,112 WOODVALE AVENUE,10309,1,"20,436",1935,935000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,82 DOUGLAS ROAD,10304,1,"20,295",2011,3350000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,99 SWEETBROOK ROAD,10312,1,"20,136",1960,518000,213734,8585,55180,173430
Bronx County,01 ONE FAMILY DWELLINGS,4675 DODGEWOOD ROAD,10471,1,"20,130",1955,2200000,565642,32035,44610,621050
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,134 HIGHVIEW AVENUE,10301,1,"20,023",1915,315000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,97 TAYLOR STREET,10310,1,"19,620",1899,372539,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,128 MEADE LOOP,10309,1,"19,600",1991,965000,213734,8585,55180,173430
Bronx County,01 ONE FAMILY DWELLINGS,464 KING AVENUE,10464,1,"19,500",1925,1275000,565642,32035,44610,621050
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,53 WOODSIDE AVENUE,10304,1,"19,440",1955,450000,213734,8585,55180,173430
Queens County,02 TWO FAMILY DWELLINGS,99-21 HOLLIS AVENUE,11423,2,"19,260",1901,465237,1099996,39401,166650,1015040
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,58 BUTTONWOOD ROAD,10304,1,"18,767",1920,1900000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,396 ST PAULS AVENUE,10304,1,"18,584",1901,700000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,32 CIRCLE ROAD,10304,1,"18,250",1970,3450000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,450 ELTINGVILLE BLVD,10312,1,"17,940",2020,1475000,213734,8585,55180,173430
Queens County,01 ONE FAMILY DWELLINGS,86-16 PINTO STREET,11423,1,"17,500",1940,1100000,1099996,39401,166650,1015040
