price,zip,date,bds,bath,sqft,boro,employed,unemployed,incomeabove100k,incomebelow100k
150000,11219,8/30/20,0,1.0,"1,060",Kings County (Brooklyn),1149461,48699,188640,1067440
5850,11103,8/31/20,0,1.0,"1,070",Queens County,1099996,39401,166650,1015040
699000,10469,9/1/20,0,1.0,"1,800",Bronx County,565642,32035,44610,621050
22000000,10012,9/2/20,0,1.0,"11,165",New York County,879665,31973,300250,594060
115000,10029,9/3/20,0,1.0,120,New York County,879665,31973,300250,594060
159900,11375,9/4/20,0,1.0,"122,606",Queens County,1099996,39401,166650,1015040
285000,10028,9/5/20,0,1.0,"18,935",New York County,879665,31973,300250,594060
50000000,10065,9/6/20,0,1.0,"20,000",New York County,879665,31973,300250,594060
275000,10016,9/7/20,0,1.0,"204,638",New York County,879665,31973,300250,594060
88000000,10021,9/8/20,0,1.0,"28,000",New York County,879665,31973,300250,594060
14000,11209,9/9/20,0,1.0,"3,090",Kings County (Brooklyn),1149461,48699,188640,1067440
445000,10011,9/10/20,0,1.0,"33,900",New York County,879665,31973,300250,594060
109999,10019,9/11/20,0,1.0,450,New York County,879665,31973,300250,594060
285000,10023,9/12/20,0,1.0,450,New York County,879665,31973,300250,594060
165000,11374,9/13/20,0,1.0,468,Queens County,1099996,39401,166650,1015040
89900,11230,9/14/20,0,1.0,500,Kings County (Brooklyn),1149461,48699,188640,1067440
350000,10065,9/15/20,0,1.0,500,New York County,879665,31973,300250,594060
569000,10022,9/16/20,0,1.0,575,New York County,879665,31973,300250,594060
399000,11218,9/17/20,0,1.0,"59,640",Kings County (Brooklyn),1149461,48699,188640,1067440
10000000,11357,9/18/20,0,1.0,"6,569",Queens County,1099996,39401,166650,1015040
395000,10017,9/19/20,0,1.0,600,New York County,879665,31973,300250,594060
249000,10022,9/20/20,0,1.0,600,New York County,879665,31973,300250,594060
449000,10010,9/21/20,0,1.0,"65,393",New York County,879665,31973,300250,594060
199000,11210,9/22/20,0,1.0,"82,440",Kings County (Brooklyn),1149461,48699,188640,1067440
365000,11377,9/23/20,0,1.0,912,Queens County,1099996,39401,166650,1015040
79000000,10021,9/24/20,6,8.0,"20,000",New York County,879665,31973,300250,594060
90000000,10022,9/25/20,6,8.0,"8,054",New York County,879665,31973,300250,594060
66000000,10019,9/26/20,4,6.0,"7,130",New York County,879665,31973,300250,594060
199000,10019,9/27/20,1,2.0,"1,050",New York County,879665,31973,300250,594060
689000,10022,9/28/20,3,3.0,"2,200",New York County,879665,31973,300250,594060
65000000,10065,9/29/20,6,8.0,"14,825",New York County,879665,31973,300250,594060
290000,10022,9/30/20,2,3.0,"1,262",New York County,879665,31973,300250,594060
67000000,10065,10/2/20,7,11.0,"13,000",New York County,879665,31973,300250,594060
6250000,11217,10/3/20,6,5.0,"5,802",Kings County (Brooklyn),1149461,48699,188640,1067440
27500000,10013,10/4/20,4,6.0,"6,400",New York County,879665,31973,300250,594060
4088000,11360,10/5/20,6,9.0,"9,000",Queens County,1099996,39401,166650,1015040
2890000,10471,10/6/20,6,6.0,"6,500",Bronx County,565642,32035,44610,621050
135000,10304,10/7/20,3,3.0,"2,000",Richmond County (Staten Island),213734,8585,55180,173430
299000,10019,10/8/20,2,1.0,950,New York County,879665,31973,300250,594060
137000,10019,10/9/20,1,1.0,600,New York County,879665,31973,300250,594060
495000,10022,10/10/20,2,2.0,"1,075",New York County,879665,31973,300250,594060
1775000,10307,10/11/20,5,4.0,"5,150",Richmond County (Staten Island),213734,8585,55180,173430
249000,10019,10/12/20,1,1.0,900,New York County,879665,31973,300250,594060
40000000,10007,10/13/20,5,11.0,"7,488",New York County,879665,31973,300250,594060
9500000,10065,10/14/20,4,4.0,"2,900",New York County,879665,31973,300250,594060
819500,11213,10/15/20,7,7.0,"5,036",Kings County (Brooklyn),1149461,48699,188640,1067440
599000,11207,10/16/20,4,3.0,"1,482",Kings County (Brooklyn),1149461,48699,188640,1067440
50000000,10128,10/17/20,6,7.0,"70,820",New York County,879665,31973,300250,594060
1595000,11221,10/19/20,5,4.0,"2,715",Kings County (Brooklyn),1149461,48699,188640,1067440
33000000,10010,10/21/20,5,7.0,"6,769",New York County,879665,31973,300250,594060
299000,10465,10/22/20,2,2.0,"1,234",Bronx County,565642,32035,44610,621050
12500000,10024,10/23/20,7,10.0,"7,500",New York County,879665,31973,300250,594060
63250000,10019,10/24/20,5,6.0,"7,074",New York County,879665,31973,300250,594060
219000,10019,10/25/20,1,1.0,900,New York County,879665,31973,300250,594060
519000,10019,10/26/20,3,3.0,"1,800",New York County,879665,31973,300250,594060
699900,10307,10/27/20,5,5.0,"3,000",Richmond County (Staten Island),213734,8585,55180,173430
289000,10306,10/28/20,3,2.0,"1,224",Richmond County (Staten Island),213734,8585,55180,173430
699998,10306,10/29/20,3,2.0,"1,040",Richmond County (Staten Island),213734,8585,55180,173430
598000,11209,10/30/20,3,2.0,"1,295",Kings County (Brooklyn),1149461,48699,188640,1067440
75000,10452,10/31/20,1,1.0,"36,900",Bronx County,565642,32035,44610,621050
250000,11411,11/1/20,2,1.0,"1,038",Queens County,1099996,39401,166650,1015040
10500000,11209,11/2/20,7,8.0,"10,010",Kings County (Brooklyn),1149461,48699,188640,1067440
300000,10466,11/5/20,5,2.0,"2,560",Bronx County,565642,32035,44610,621050
399999,11429,11/6/20,3,2.0,"2,692",Queens County,1099996,39401,166650,1015040
3500000,10017,11/7/20,6,5.0,"4,511",New York County,879665,31973,300250,594060
39950000,10019,11/9/20,5,6.0,"7,381",New York County,879665,31973,300250,594060
8988000,11357,11/10/20,6,6.0,"7,218",Queens County,1099996,39401,166650,1015040
5500000,10304,11/11/20,6,8.0,"13,500",Richmond County (Staten Island),213734,8585,55180,173430
235000,11419,11/13/20,4,2.0,"1,560",Queens County,1099996,39401,166650,1015040
400000,10464,11/14/20,3,2.0,"1,944",Bronx County,565642,32035,44610,621050
310000,11433,11/15/20,5,2.0,"2,000",Queens County,1099996,39401,166650,1015040
1595000,11228,11/16/20,5,4.0,"2,013",Kings County (Brooklyn),1149461,48699,188640,1067440
298000,11235,11/17/20,2,1.0,"1,000",Kings County (Brooklyn),1149461,48699,188640,1067440
649000,11203,11/19/20,3,2.0,"1,845",Kings County (Brooklyn),1149461,48699,188640,1067440
729000,11379,11/20/20,3,1.0,"2,600",Queens County,1099996,39401,166650,1015040
2095000,11357,11/21/20,4,4.0,"2,800",Queens County,1099996,39401,166650,1015040
9995000,10003,11/22/20,6,5.0,"5,900",New York County,879665,31973,300250,594060
469500,10469,11/23/20,3,2.0,"1,250",Bronx County,565642,32035,44610,621050
180000,10027,11/24/20,1,1.0,450,New York County,879665,31973,300250,594060
3100000,10307,11/25/20,6,8.0,"6,000",Richmond County (Staten Island),213734,8585,55180,173430
325000,11434,11/27/20,3,2.0,"1,892",Queens County,1099996,39401,166650,1015040
175000,10030,11/28/20,1,1.0,"25,986",New York County,879665,31973,300250,594060
675000,11203,11/29/20,5,3.0,"2,459",Kings County (Brooklyn),1149461,48699,188640,1067440
549000,10473,11/30/20,3,2.0,"1,930",Bronx County,565642,32035,44610,621050
399000,10001,12/1/20,1,1.0,450,New York County,879665,31973,300250,594060
29995000,10011,12/2/20,6,9.0,"8,757",New York County,879665,31973,300250,594060
624999,11429,12/3/20,3,3.0,"3,775",Queens County,1099996,39401,166650,1015040
53000000,10014,12/4/20,6,9.0,"9,607",New York County,879665,31973,300250,594060
998000,11358,12/6/20,4,4.0,"2,088",Queens County,1099996,39401,166650,1015040
329000,10465,12/7/20,6,3.0,"1,910",Bronx County,565642,32035,44610,621050
42500000,10012,12/9/20,5,7.0,"7,241",New York County,879665,31973,300250,594060
395000,10028,12/11/20,2,1.0,"9,895",New York County,879665,31973,300250,594060
359000,10031,12/12/20,3,2.0,"1,108",New York County,879665,31973,300250,594060
48000000,10023,12/13/20,3,4.0,"4,024",New York County,879665,31973,300250,594060
595000,11234,12/14/20,3,2.0,"1,250",Kings County (Brooklyn),1149461,48699,188640,1067440
203625,11234,12/15/20,3,2.0,"1,200",Kings County (Brooklyn),1149461,48699,188640,1067440
325000,10037,12/16/20,3,2.0,750,New York County,879665,31973,300250,594060
