year,zipcode,boro,sq ft,bedrooms,starbucks within mile,unemployment,income?,median previous year price,house price (dep variable)
2008,10001,Manhattan,2842,3,0,1460,546372,505976.4,562196
2008,10002,Manhattan,3237,3,4,3896,552463,944582.4,1049536
2008,10003,Manhattan,3128,3,5,3006,420370,382297.5,424775
2008,10004,Manhattan,1733,3,5,1033,489144,255778.2,284198
2008,10005,Manhattan,567,1,6,1115,148686,649310.4,721456
2008,10006,Manhattan,1729,3,6,3757,366805,1535805.9,1706451
2008,10007,Manhattan,2598,2,4,3578,320130,1045152,1161280
2008,10009,Manhattan,1746,1,2,3959,396056,316905.3,352117
2008,10010,Manhattan,752,3,5,3008,172230,1545892.2,1717658
2008,10011,Manhattan,1420,1,3,2078,749156,949511.7,1055013
2008,10012,Manhattan,1978,2,1,1603,667973,1496117.7,1662353
2008,10013,Manhattan,1865,3,2,1768,466228,395999.1,439999
2008,10014,Manhattan,2189,2,5,2052,604569,415208.7,461343
2008,10015,Manhattan,3106,2,1,3079,204805,1536898.5,1707665
2008,10016,Manhattan,2995,3,3,3602,247822,476118.9,529021
2008,10017,Manhattan,3283,3,4,3585,606583,812675.7,902973
2008,10018,Manhattan,1222,2,1,2916,205452,481520.7,535023
2008,10019,Manhattan,3330,2,1,1403,245281,1318857.3,1465397
2008,10020,Manhattan,1343,3,0,3066,504544,1729569.6,1921744
2008,10021,Manhattan,1491,3,6,3258,269143,1173045.6,1303384
2008,10022,Manhattan,2801,2,0,2347,355359,1077402.6,1197114
2008,10023,Manhattan,2120,3,6,2129,53304,989473.5,1099415
2008,10024,Manhattan,770,1,1,1214,126483,288787.5,320875
2008,10025,Manhattan,2804,1,6,3634,528867,1792994.4,1992216
2008,10026,Manhattan,1526,1,1,1278,519041,1456593.3,1618437
2008,10027,Manhattan,1411,2,3,2795,652511,1768629.6,1965144
2008,10028,Manhattan,642,1,6,2511,471836,416948.4,463276
2008,10029,Manhattan,2364,1,2,3228,579568,920407.5,1022675
2008,10030,Manhattan,1900,2,4,2500,88789,502239.6,558044
2008,10031,Manhattan,3283,2,3,2882,659378,260416.8,289352
2008,10032,Manhattan,1399,3,0,2937,395368,346275.9,384751
2008,10033,Manhattan,3143,3,3,1697,406230,827025.3,918917
2008,10034,Manhattan,1102,3,4,2338,605343,1573505.1,1748339
2008,10035,Manhattan,2506,3,4,3318,292041,1476976.5,1641085
2008,10036,Manhattan,3493,3,3,2845,411227,979532.1,1088369
2008,10037,Manhattan,2719,3,0,2722,567687,1747997.1,1942219
2008,10038,Manhattan,1402,3,1,1911,296096,1586243.7,1762493
2008,10039,Manhattan,2169,1,1,2975,473376,434555.1,482839
2008,10040,Manhattan,582,1,4,3212,239954,1497921.3,1664357
2008,10041,Manhattan,1290,1,1,3757,314287,1384486.2,1538318
2008,10044,Manhattan,2252,1,0,1329,675771,1722318.3,1913687
2008,10045,Manhattan,1092,1,6,2535,88799,618674.4,687416
2008,10048,Manhattan,1988,2,3,3547,179701,1607371.2,1785968
2008,10055,Manhattan,642,2,1,3699,520089,688338.9,764821
2008,10060,Manhattan,1248,2,4,3152,334069,1264786.2,1405318
2008,10069,Manhattan,1504,3,0,2798,66475,276188.4,306876
2008,10090,Manhattan,572,2,2,1104,489757,1067793.3,1186437
2008,10095,Manhattan,3214,2,0,2573,554976,1346272.2,1495858
2008,10098,Manhattan,2454,2,2,3182,63059,1431404.1,1590449
2008,10099,Manhattan,2766,3,6,3666,399950,1702936.8,1892152
2008,10103,Manhattan,1433,2,4,3346,722073,1414769.4,1571966
2008,10104,Manhattan,2604,3,2,2045,64509,972025.2,1080028
2008,10105,Manhattan,2936,2,4,3735,575527,1290682.8,1434092
2008,10106,Manhattan,1959,3,5,3414,319459,1378489.5,1531655
2008,10107,Manhattan,2117,1,6,3799,100220,1527107.4,1696786
2008,10110,Manhattan,741,1,4,2596,317349,969654.6,1077394
2008,10111,Manhattan,1431,1,6,2191,562862,1124639.1,1249599
2008,10112,Manhattan,2783,3,4,1940,193499,985278.6,1094754
2008,10115,Manhattan,2247,2,2,3550,144573,457716.6,508574
2008,10118,Manhattan,1128,1,5,3693,221715,815716.8,906352
2008,10119,Manhattan,2366,3,5,3879,728495,477416.7,530463
2008,10120,Manhattan,840,3,3,2234,202433,1685159.1,1872399
2008,10121,Manhattan,1185,3,0,2718,577323,802113.3,891237
2008,10122,Manhattan,2324,1,4,3902,139270,567943.2,631048
2008,10123,Manhattan,1439,2,0,2853,557877,1254060.9,1393401
2008,10128,Manhattan,3167,3,4,3843,495955,1085738.4,1206376
2008,10151,Manhattan,757,1,4,3475,535459,1461440.7,1623823
2008,10152,Manhattan,3226,2,2,2065,319590,348016.5,386685
2008,10153,Manhattan,2416,3,5,2596,104502,1612662.3,1791847
2008,10154,Manhattan,1956,1,6,3163,145660,484411.5,538235
2008,10155,Manhattan,1345,1,0,1205,196977,1423436.4,1581596
2008,10158,Manhattan,2656,1,1,2645,404749,262638.9,291821
2008,10161,Manhattan,2669,1,2,1990,547818,1168018.2,1297798
2008,10162,Manhattan,1936,3,6,3343,632791,905331.6,1005924
2008,10165,Manhattan,2477,1,1,3473,90718,1117386,1241540
2008,10166,Manhattan,2234,3,4,1748,664993,432129.6,480144
2008,10167,Manhattan,2535,1,6,3668,38751,859196.7,954663
2008,10168,Manhattan,727,3,4,1852,522332,1588625.1,1765139
2008,10169,Manhattan,3164,1,3,3104,741559,1731605.4,1924006
2008,10170,Manhattan,1373,1,5,1966,52828,323751.6,359724
2008,10171,Manhattan,3095,3,3,3109,182734,552726,614140
2008,10172,Manhattan,1896,3,2,1652,160378,532282.5,591425
2008,10173,Manhattan,2815,1,2,3696,35845,447646.5,497385
2008,10174,Manhattan,2180,2,2,3115,605917,1649091.6,1832324
2008,10175,Manhattan,2252,3,2,3284,651087,1238359.5,1375955
2008,10176,Manhattan,2444,3,2,2037,717038,1552039.2,1724488
