price,address,zipcode,Date,beds,bath,sq_ft,boro,Employed,Unemployed,income above 100k,income below 100k
405000,"430 W 34th St APT 6L, New York, NY 10001",10001,8/24/20,0,1,0,New York County,879665,31973,300250,594060
825000,"225 W 25th St APT 2A, New York, NY 10001",10001,8/13/20,1,1,700,New York County,879665,31973,300250,594060
750000,"410 W 25th St APT 2B, New York, NY 10001",10001,8/11/20,1,2,,New York County,879665,31973,300250,594060
1250000,"410 W 25th St APT 1D, New York, NY 10001",10001,8/11/20,2,2,600,New York County,879665,31973,300250,594060
550000,"408 W 34th St APT 3C, New York, NY 10001",10001,8/7/20,0,0,0,New York County,879665,31973,300250,594060
4500000,"553 W 30th St #75D, New York, NY 10001",10001,8/7/20,Studio,,1753,New York County,879665,31973,300250,594060
115620,"305 W 28th St APT 4A, New York, NY 10001",10001,8/6/20,0,0,0,New York County,879665,31973,300250,594060
420000,"430-432 W 34th St, New York, NY 10001",10001,7/31/20,Studio,,108402,New York County,879665,31973,300250,594060
420000,"430 W 34th St APT 4E, New York, NY 10001",10001,7/31/20,Studio,,550,New York County,879665,31973,300250,594060
129279,"270-296 9th Ave, New York, NY 10001",10001,7/28/20,0,0,33282,New York County,879665,31973,300250,594060
129279,"355 8th Ave APT 21J, New York, NY 10001",10001,7/28/20,0,0,0,New York County,879665,31973,300250,594060
17200000,"553 W 30th St #87C, New York, NY 10001",10001,7/27/20,Studio,,5118,New York County,879665,31973,300250,594060
680000,"433 W 34th St APT 3K, New York, NY 10001",10001,7/22/20,1,1,604,New York County,879665,31973,300250,594060
680000,"433-441 W 34th St, New York, NY 10001",10001,7/22/20,1,1,700,New York County,879665,31973,300250,594060
418000,"433 W 34th St APT 6E, New York, NY 10001",10001,7/20/20,0,1,0,New York County,879665,31973,300250,594060
29500000,"1227 Broadway, New York, NY 10001",10001,7/20/20,Studio,,412612,New York County,879665,31973,300250,594060
4460000,"553 W 30th St #66F, New York, NY 10001",10001,7/14/20,Studio,,1818,New York County,879665,31973,300250,594060
3930000,"520 W 28th St APT 13, New York, NY 10001",10001,7/14/20,2,3,1691,New York County,879665,31973,300250,594060
5000000,"553 W 30th St #72D, New York, NY 10001",10001,7/14/20,Studio,,1769,New York County,879665,31973,300250,594060
165767,"345 8th Ave APT 15J, New York, NY 10001",10001,7/10/20,0,0,0,New York County,879665,31973,300250,594060
1510000,"107-113 W 25th St, New York, NY 10001",10001,7/9/20,0,0,41042,New York County,879665,31973,300250,594060
767500,"430 W 34th St APT 12H, New York, NY 10001",10001,7/1/20,1,1,0,New York County,879665,31973,300250,594060
1810000,"252 7th Ave APT 8B, New York, NY 10001",10001,6/22/20,1,1,1162,New York County,879665,31973,300250,594060
99102,"340 W 28th St APT 10G, New York, NY 10001",10001,6/17/20,0,0,0,New York County,879665,31973,300250,594060
6850000,"520 W 28th St #16, New York, NY 10001",10001,6/17/20,3,4,2924,New York County,879665,31973,300250,594060
1300000,"107 W 25th St APT 3E, New York, NY 10001",10001,6/12/20,2,1,1100,New York County,879665,31973,300250,594060
6700000,"520 W 28th St #11, New York, NY 10001",10001,6/4/20,3,4,2924,New York County,879665,31973,300250,594060
132137,"280 9th Ave APT 7C, New York, NY 10001",10001,6/2/20,0,0,0,New York County,879665,31973,300250,594060
115620,"330 W 28th St APT 20B, New York, NY 10001",10001,6/2/20,0,0,0,New York County,879665,31973,300250,594060
99817,"280 9th Ave APT 18G, New York, NY 10001",10001,6/2/20,0,0,0,New York County,879665,31973,300250,594060
675000,"433 W 34th St APT 12H, New York, NY 10001",10001,6/1/20,1,1,0,New York County,879665,31973,300250,594060
4170000,"520 W 28th St #3, New York, NY 10001",10001,5/29/20,2,2.5,1691,New York County,879665,31973,300250,594060
1630000,"420 W 25th St APT 7A, New York, NY 10001",10001,5/27/20,1,2,1240,New York County,879665,31973,300250,594060
2580000,"144 W 27th St ROOM 5R, New York, NY 10001",10001,5/26/20,Studio,,3182,New York County,879665,31973,300250,594060
7000000,"553 W 30th St #64B, New York, NY 10001",10001,5/21/20,Studio,,2330,New York County,879665,31973,300250,594060
2350000,"130 W 30th St APT 10C, New York, NY 10001",10001,5/19/20,3,3,2055,New York County,879665,31973,300250,594060
1300000,"107 W 25th St APT 3E, New York, NY 10001",10001,5/15/20,2,1,1100,New York County,879665,31973,300250,594060
1220000,"261 W 25th St #2E, New York, NY 10001",10001,5/12/20,1,1,783,New York County,879665,31973,300250,594060
629000,"408 W 34th St APT 3H, New York, NY 10001",10001,5/11/20,1,1,0,New York County,879665,31973,300250,594060
1640000,"357 W 29th St APT 2B, New York, NY 10001",10001,5/11/20,2,2,1300,New York County,879665,31973,300250,594060
1770000,"315 7th Ave, New York, NY 10001",10001,5/5/20,0,0,986,New York County,879665,31973,300250,594060
2270000,"50 W 30th St #4-E, New York, NY 10001",10001,4/27/20,2,2,1325,New York County,879665,31973,300250,594060
1730000,"252 7th Ave APT 10Y, New York, NY 10001",10001,4/24/20,1,1,1055,New York County,879665,31973,300250,594060
740000,"433 W 34th St APT 4J, New York, NY 10001",10001,4/22/20,1,1,725,New York County,879665,31973,300250,594060
191112,"280 9th Ave APT 15F, New York, NY 10001",10001,4/15/20,0,0,0,New York County,879665,31973,300250,594060
980000,"315 7th Ave APT 8B, New York, NY 10001",10001,4/3/20,1,1,764,New York County,879665,31973,300250,594060
4000000,"321 W 33rd St, New York, NY 10001",10001,4/2/20,Studio,,0,New York County,879665,31973,300250,594060
2400000,"50 W 30th St #5A, New York, NY 10001",10001,4/1/20,2,2,1247,New York County,879665,31973,300250,594060
2300000,"50 W 30th St #3E, New York, NY 10001",10001,3/31/20,2,2,1325,New York County,879665,31973,300250,594060
2360000,"50 W 30th St APT 5A, New York, NY 10001",10001,3/25/20,2,2,1247,New York County,879665,31973,300250,594060
2490000,"553 W 30th St #37B, New York, NY 10001",10001,3/19/20,Studio,,848,New York County,879665,31973,300250,594060
720000,"315 7th Ave APT 2B, New York, NY 10001",10001,3/18/20,1,1,750,New York County,879665,31973,300250,594060
3230000,"263 9th Ave APT 6C, New York, NY 10001",10001,3/18/20,3,3,2124,New York County,879665,31973,300250,594060
79045,"340 W 28th St APT 18E, New York, NY 10001",10001,3/18/20,0,0,0,New York County,879665,31973,300250,594060
3230000,"263 9th Ave #STG6, New York, NY 10001",10001,3/18/20,0,0,0,New York County,879665,31973,300250,594060
127876,"365 W 28th St APT 6H, New York, NY 10001",10001,3/18/20,0,0,0,New York County,879665,31973,300250,594060
650000,"315 7th Ave APT 7E, New York, NY 10001",10001,3/11/20,Studio,,520,New York County,879665,31973,300250,594060
2250000,"263 9th Ave APT 4B, New York, NY 10001",10001,3/10/20,1,2,1536,New York County,879665,31973,300250,594060
430000,"430 W 34th St APT 15A, New York, NY 10001",10001,3/4/20,0,0,0,New York County,879665,31973,300250,594060
730000,"357 W 29th St APT 6A, New York, NY 10001",10001,3/3/20,0,0,0,New York County,879665,31973,300250,594060
390000,"430 W 34th St APT 5B, New York, NY 10001",10001,3/3/20,0,1,0,New York County,879665,31973,300250,594060
13000000,"553 W 30th St PENTHOUSE 87A, New York, NY 10001",10001,2/28/20,Studio,,3323,New York County,879665,31973,300250,594060
570000,"430 W 34th St APT 16F, New York, NY 10001",10001,2/27/20,1,1,0,New York County,879665,31973,300250,594060
144386,"340 W 28th St APT 11B, New York, NY 10001",10001,2/26/20,0,0,0,New York County,879665,31973,300250,594060
2400000,"553 W 30th St #24E, New York, NY 10001",10001,2/21/20,Studio,,991,New York County,879665,31973,300250,594060
645000,"315 7th Ave APT 20D, New York, NY 10001",10001,2/18/20,Studio,,480,New York County,879665,31973,300250,594060
6900000,"527 W 27th St #8A, New York, NY 10001",10001,2/11/20,Studio,,120983,New York County,879665,31973,300250,594060
80214,"280 9th Ave APT 21D, New York, NY 10001",10001,2/11/20,0,0,0,New York County,879665,31973,300250,594060
2100000,"130 W 30th St APT 16B, New York, NY 10001",10001,2/11/20,3,3,1987,New York County,879665,31973,300250,594060
2630000,"553 W 30th St #39E, New York, NY 10001",10001,2/10/20,Studio,,978,New York County,879665,31973,300250,594060
128811,"290 9th Ave APT 4H, New York, NY 10001",10001,2/7/20,0,0,0,New York County,879665,31973,300250,594060
96608,"305 W 28th St APT 12D, New York, NY 10001",10001,2/7/20,0,0,0,New York County,879665,31973,300250,594060
