PROPERTY TYPE,ADDRESS,CITY,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,$/SQUARE FEET,HOA/MONTH,LATITUDE,LONGITUDE
Single Family Residential,31 Giegerich Pl,Staten Island,10307,3100000,6,8,Tottenville,6000,16000,1988,517,,40.5072407,-74.2341877
Single Family Residential,25 Coldspring Ct,Staten Island,10304,1599900,4,4,Todt Hill,4500,13500,1994,356,,40.596691,-74.104562
Single Family Residential,67 Rutland Rd,Brooklyn,11225,2000000,7,3,Brooklyn,3760,2000,1901,532,,40.6591187,-73.9583345
Multi-Family (2-4 Unit),21 Harding Ave,Yonkers,10704,975000,6,5,Yonkers,3672,5005,1991,266,,40.9048379,-73.8707127
Multi-Family (2-4 Unit),69 Glover Ave,Yonkers,10704,799000,6,4,Yonkers,3573,5009,1900,224,,40.9060216,-73.8654066
Single Family Residential,10 Manger Cir,Pelham,10803,1348000,5,3.5,Pelham,3500,19166,1952,385,,40.8935525,-73.8130728
Multi-Family (2-4 Unit),1634 East 12 St,Brooklyn,11229,1599000,6,3,Brooklyn,3500,3500,1910,457,,40.6092082,-73.9614914
Multi-Family (2-4 Unit),2144 E 73 St,Brooklyn,11234,1589000,6,2.75,Brooklyn,3456,6000,1970,460,,40.6197683,-73.9052333
Multi-Family (2-4 Unit),61-35 Linden St,Ridgewood,11385,1199000,6,3,Ridgewood,3444,2000,1925,348,,40.7102069,-73.897706
Single Family Residential,26 Fairway Ln,Staten Island,10301,1195000,6,5,Silver Lake,3241,3385,1993,369,,40.6202674,-74.1073182
Multi-Family (2-4 Unit),1122 76 St,Brooklyn,11228,1599999,5,3,Dyker Heights,3168,2200,1955,505,,40.621803,-74.012015
Townhouse,481p Father Capodanno Blvd,Staten Island,10305,584900,3,4,South Beach,2832,3984,2005,207,70,40.585964,-74.071501
Townhouse,243 Carteret St,Staten Island,10307,959000,4,3,Tottenville,2811,3600,2005,341,,40.5025006,-74.2463192
Townhouse,54 Wright Ave,Staten Island,10303,689000,4,3,Elm Park,2810,6390,1920,245,,40.6356331,-74.1497553
Multi-Family (2-4 Unit),2130 Hughes Ave,BRONX,10457,739000,7,3,BRONX,2784,1398,1901,265,,40.85008,-73.889473
Single Family Residential,33-51 157th St,Flushing,11354,1588000,4,3,Flushing,2750,5940,1930,577,,40.7668139,-73.807496
Single Family Residential,16 St Stephens Pl,Staten Island,10306,1100000,4,4,Oakwood - New Dorp Heights,2700,5000,2007,407,,40.5759297,-74.1214119
Multi-Family (2-4 Unit),87-64 125th St,Richmond Hill,11418,820000,5,2,Richmond Hill,2700,2000,1901,304,,40.6992012,-73.8250053
Single Family Residential,289 Exeter St,Brooklyn,11235,1699000,3,4,Brooklyn,2700,3120,1925,629,,40.5752797,-73.9476695
Multi-Family (2-4 Unit),1514 77 St,Brooklyn,11228,1799000,,2.75,Brooklyn,2620,2900,1920,687,,40.616065,-74.003969
Townhouse,89-91 David St,Staten Island,10308,899000,5,4,Great Kills,2616,4000,1915,344,,40.542245,-74.150166
Multi-Family (2-4 Unit),917 56th St,Brooklyn,11219,1980000,9,5.75,Brooklyn,2600,2600,1915,762,,40.6362503,-74.0043284
Multi-Family (2-4 Unit),61-09 171st St,Fresh Meadows,11365,1380000,6,4,Fresh Meadows,2570,3000,1980,537,,40.737732,-73.797969
Multi-Family (2-4 Unit),182 Cornelia St,Brooklyn,11221,1150000,3,2,Brooklyn,2406,1782,1905,478,,40.691864,-73.913507
Single Family Residential,270 Darlington Ave,Staten Island,10312,1070000,4,5,Huguenot,2364,4000,2004,453,50,40.5359032,-74.1942465
Multi-Family (2-4 Unit),25 Wilson Ave,Staten  Island,10308,759000,5,2.5,Staten  Island,2352,5029,1965,323,,40.550222,-74.1550461
Multi-Family (2-4 Unit),84-44 121 St,Kew Gardens,11415,1250000,4,,Kew Gardens,2338,3420,1920,535,,40.703469,-73.8304579
Single Family Residential,2062 Homecrest Ave,Brooklyn,11229,1899000,4,2.5,Brooklyn,2323,4027,1930,817,,40.5992294,-73.9596088
Multi-Family (2-4 Unit),77-30 Little Neck Pkwy,Glen Oaks,11004,1299000,5,3.5,Glen Oaks,2303,4000,1950,564,,40.745048,-73.718454
Multi-Family (2-4 Unit),121-21 Keel Ct,College Point,11356,875000,4,3,Riverview,2248,2232,1981,389,,40.793,-73.845966
Townhouse,46 Morris St,Staten Island,10309,979000,3,4,Rossville,2232,3970,2002,439,,40.5535141,-74.2107101
Single Family Residential,29 Croton Ave,Staten Island,10301,929000,4,4,Silver Lake,2160,5000,1980,430,,40.6232915,-74.1032346
Multi-Family (2-4 Unit),74-46 64th Pl,Glendale,11385,919900,5,2,Glendale,2160,2000,1915,426,,40.699018,-73.891529
Single Family Residential,117 E 237th St,BRONX,10470,699000,4,2.5,BRONX,2052,2500,1925,341,,40.8986359,-73.8720794
Multi-Family (2-4 Unit),194-18 Hollis Ave,St. Albans,11412,899000,7,4,St. Albans,1994,1936,1940,451,,40.7066314,-73.763127
Single Family Residential,208 Albany Ave,Brooklyn,11213,949900,3,2.5,Brooklyn,1992,1327,1901,477,,40.673409,-73.939297
Single Family Residential,132 Floral Blvd,Floral Park,11001,822000,4,3,Floral Park,1962,5000,1931,419,,40.7218306,-73.7123181
Single Family Residential,62 Eva Ave,Staten Island,10306,839000,4,3,Oakwood,1950,4224,1960,430,,40.5596152,-74.1110347
Multi-Family (2-4 Unit),421 Thieriot Ave,BRONX,10473,629000,4,2,BRONX,1944,2500,1920,324,,40.8137677,-73.8604563
Multi-Family (2-4 Unit),148 Saratoga Ave,Brooklyn,11233,988000,8,4,Brooklyn,1920,2500,1920,515,,40.6814655,-73.9171875
Townhouse,432 Fanning St,Staten Island,10314,999999,4,2,Manor Heights,1904,4800,1970,525,,40.6015731,-74.1227343
Townhouse,1124 Neill Ave,BRONX,10461,649000,3,1.5,Morris Park,1881,1899,1940,345,,40.853757,-73.8548847
Multi-Family (2-4 Unit),7115 12 Ave,Brooklyn,11228,1368000,6,3,Brooklyn,1875,2000,1940,730,,40.6233999,-74.007355
Townhouse,88 Cortlandt St,Staten Island,10302,525000,3,2,Port Richmond,1845,2500,1915,285,,40.6294516,-74.1332863
Single Family Residential,5801 213th St,Bayside,11364,999000,3,1.5,Bayside,1807,4069,1940,553,,40.748671,-73.764713
Multi-Family (2-4 Unit),13-16 130th St,College Point,11356,998888,4,3,College Point,1800,3000,1930,555,,40.786709,-73.83856
Single Family Residential,2171 Kimball St,Brooklyn,11234,709000,3,2,Marine Park,1800,2095,1945,394,,40.6087822,-73.9249714
Condo/Co-op,55 E 87th St Unit 3ML,NewYork,10128,2395000,3,2,The Parc,1800,,1963,1331,2616,40.7813394,-73.9572439
Single Family Residential,86 W Cedarview Ave,Staten Island,10306,769000,3,2,Richmond Town,1720,4331,1975,447,,40.5674396,-74.1380058
Townhouse,1599 Castleton Ave,Staten Island,10302,389000,3,1,Port Richmond,1696,2500,1899,229,,40.6362949,-74.136538
Single Family Residential,44 Monarch Ct,Staten Island,10314,749900,3,4,New Springville,1692,3705,2014,443,66,40.5929491,-74.1521483
Single Family Residential,115 AkA 113 Lee Ave,Yonkers,10705,575000,3,1.5,Lincoln Park,1687,5001,1950,341,,40.911047,-73.879192
Single Family Residential,1464 E 70th St,Brooklyn,11234,799000,3,1.5,Brooklyn,1683,2600,1975,475,,40.6211203,-73.9104771
Single Family Residential,618 Manor Rd,Staten Island,10314,635000,3,1,Castletn Corner,1627,6250,1915,390,,40.6121745,-74.1224934
Multi-Family (2-4 Unit),1806 E 53rd St,Brooklyn,11234,669000,3,2,Brooklyn,1627,2000,1960,411,,40.6142306,-73.9237942
Townhouse,24 Baltimore St,Staten Island,10308,775000,5,4,Great Kills,1625,4416,1990,477,,40.551543,-74.15145
Single Family Residential,104-20 Sutter Ave,Ozone Park,11417,660000,3,2,Ozone Park,1600,2500,1920,413,,40.676632,-73.834759
Single Family Residential,105 Milton Ave,Staten Island,10306,598888,4,3,New Dorp,1600,2568,1980,374,,40.564344,-74.10457
Townhouse,54 Saint Stephens Pl,Staten Island,10306,699900,3,2,Oakwood - New Dorp Heights,1584,5000,1930,442,,40.5763986,-74.1202109
Multi-Family (2-4 Unit),8857 19th Ave,Brooklyn,11214,969999,5,2.5,Brooklyn,1584,1552,,612,,40.600622,-74.005581
Single Family Residential,45-23 215 Pl,Bayside,11361,910000,3,1.5,Bayside,1548,2242,1935,588,,40.75995,-73.766114
Single Family Residential,67-31 210th St,Bayside,11364,849000,3,2.5,Bayside,1504,2500,1950,564,,40.7415982,-73.764417
Townhouse,39 Santa Monica Ln,Staten Island,10309,778888,3,3,Woodrow,1504,2968,2007,518,89,40.5376178,-74.2123113
Condo/Co-op,212-30 23rd Ave Unit 2E,Bayside,11360,499000,3,2,Bay Terr Section 12,1500,,1964,333,1653,40.781645,-73.776843
Condo/Co-op,101 Battery Ave Unit 3B,Brooklyn,11209,895000,3,2,Brooklyn,1500,,2018,597,,40.6169508,-74.0237161
Condo/Co-op,101 Battery Ave Unit 2B,Brooklyn,11209,795000,3,2,Brooklyn,1500,,2018,530,,40.6169508,-74.0237161
Single Family Residential,121 Hendricks Ave,Staten Island,10301,532000,4,4,St. George,1500,25100,2017,355,,40.6403279,-74.085568
