zip,City,County,Type,boro
10001,New York,New York,Standard,New York County
10002,New York,New York,Standard,New York County
10003,New York,New York,Standard,New York County
10004,New York,New York,Standard,New York County
10005,New York,New York,Standard,New York County
10006,New York,New York,Standard,New York County
10007,New York,New York,Standard,New York County
10008,New York,New York,P.O. Box,New York County
10009,New York,New York,Standard,New York County
10010,New York,New York,Standard,New York County
10011,New York,New York,Standard,New York County
10012,New York,New York,Standard,New York County
10013,New York,New York,Standard,New York County
10014,New York,New York,Standard,New York County
10016,New York,New York,Standard,New York County
10017,New York,New York,Standard,New York County
10018,New York,New York,Standard,New York County
10019,New York,New York,Standard,New York County
10020,New York,New York,Standard,New York County
10021,New York,New York,Standard,New York County
10022,New York,New York,Standard,New York County
10023,New York,New York,Standard,New York County
10024,New York,New York,Standard,New York County
10025,New York,New York,Standard,New York County
10026,New York,New York,Standard,New York County
10027,New York,New York,Standard,New York County
10028,New York,New York,Standard,New York County
10029,New York,New York,Standard,New York County
10030,New York,New York,Standard,New York County
10031,New York,New York,Standard,New York County
10032,New York,New York,Standard,New York County
10033,New York,New York,Standard,New York County
10034,New York,New York,Standard,New York County
10035,New York,New York,Standard,New York County
10036,New York,New York,Standard,New York County
10037,New York,New York,Standard,New York County
10038,New York,New York,Standard,New York County
10039,New York,New York,Standard,New York County
10040,New York,New York,Standard,New York County
10041,New York,New York,Standard,New York County
10043,New York,New York,Unique,New York County
10044,New York,New York,Standard,New York County
10045,New York,New York,Standard,New York County
10055,New York,New York,Standard,New York County
10060,New York,New York,Standard,New York County
10065,New York,New York,Standard,New York County
10069,New York,New York,Standard,New York County
10075,New York,New York,Standard,New York County
10080,New York,New York,Unique,New York County
10081,New York,New York,Unique,New York County
10087,New York,New York,Unique,New York County
10090,New York,New York,Standard,New York County
10101,New York,New York,P.O. Box,New York County
10102,New York,New York,Unique,New York County
10103,New York,New York,Standard,New York County
10104,New York,New York,Standard,New York County
10105,New York,New York,Standard,New York County
10106,New York,New York,Standard,New York County
10107,New York,New York,Standard,New York County
10108,New York,New York,P.O. Box,New York County
10109,New York,New York,Unique,New York County
10110,New York,New York,Standard,New York County
10111,New York,New York,Standard,New York County
10112,New York,New York,Standard,New York County
10113,New York,New York,P.O. Box,New York County
10114,New York,New York,Unique,New York County
10115,New York,New York,Standard,New York County
10116,New York,New York,P.O. Box,New York County
10117,New York,New York,Unique,New York County
10118,New York,New York,Standard,New York County
10119,New York,New York,Standard,New York County
10120,New York,New York,Standard,New York County
10121,New York,New York,Standard,New York County
10122,New York,New York,Standard,New York County
10123,New York,New York,Standard,New York County
10124,New York,New York,Unique,New York County
10125,New York,New York,Unique,New York County
10126,New York,New York,Unique,New York County
10128,New York,New York,Standard,New York County
10129,New York,New York,P.O. Box,New York County
10130,New York,New York,Unique,New York County
10131,New York,New York,Unique,New York County
